epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1972.29,0.72111,0.90898,0.96383,0.4201,0.58217,0.42195,0.31678,0.75521,1.37848,1.05822,0.000362968,0.000362968,0.000362968
98,1994.21,0.72746,0.89184,0.96968,0.49261,0.51928,0.52576,0.37271,0.75639,1.37633,1.05986,0.000358739,0.000358739,0.000358739
99,2012.43,0.74339,0.93437,0.97106,0.51277,0.47518,0.53245,0.37917,0.74796,1.365,1.06301,0.000354509,0.000354509,0.000354509
100,2034.41,0.72991,0.92575,0.97237,0.44387,0.56983,0.44951,0.32863,0.75636,1.3333,1.06253,0.00035028,0.00035028,0.00035028
101,2052.41,0.73055,0.90839,0.96127,0.37318,0.64694,0.46878,0.34509,0.74994,1.31141,1.0567,0.00034605,0.00034605,0.00034605
102,2074.38,0.71366,0.89171,0.96635,0.45037,0.5733,0.46357,0.35133,0.75467,1.36851,1.06363,0.000341821,0.000341821,0.000341821
103,2096.37,0.72487,0.87743,0.96149,0.54573,0.47318,0.51363,0.39021,0.76194,1.30241,1.07309,0.000337591,0.000337591,0.000337591
104,2115.1,0.74313,0.89634,0.96278,0.47972,0.5022,0.52259,0.40862,0.75807,1.36295,1.07834,0.000333362,0.000333362,0.000333362
105,2136.73,0.72217,0.88809,0.95889,0.4811,0.59089,0.52476,0.41819,0.76358,1.36919,1.08024,0.000329132,0.000329132,0.000329132
106,2154.93,0.73075,0.85537,0.96521,0.54088,0.49139,0.52139,0.38199,0.77286,1.36396,1.07537,0.000324903,0.000324903,0.000324903
107,2176.09,0.72866,0.89215,0.95887,0.55052,0.48258,0.51565,0.39622,0.80091,1.39591,1.07935,0.000320673,0.000320673,0.000320673
108,2197.52,0.71606,0.87824,0.9479,0.65875,0.40952,0.53786,0.41906,0.76378,1.41773,1.06721,0.000316444,0.000316444,0.000316444
109,2215.69,0.70229,0.86193,0.96309,0.53244,0.54085,0.51806,0.42349,0.73606,1.42172,1.05548,0.000312214,0.000312214,0.000312214
110,2236.92,0.72002,0.87033,0.96372,0.4817,0.57622,0.54118,0.44312,0.75373,1.35335,1.05941,0.000307985,0.000307985,0.000307985
111,2255.06,0.72497,0.84198,0.95578,0.56799,0.48031,0.5354,0.41908,0.76047,1.39548,1.07334,0.000303755,0.000303755,0.000303755
112,2276.38,0.70653,0.82617,0.95327,0.42987,0.55549,0.51423,0.40713,0.77905,1.36168,1.07455,0.000299525,0.000299525,0.000299525
113,2297.73,0.70651,0.80418,0.95591,0.48537,0.53545,0.53052,0.41846,0.759,1.3419,1.06757,0.000295296,0.000295296,0.000295296
114,2315.7,0.71688,0.81069,0.95343,0.55186,0.48922,0.53901,0.423,0.74954,1.35709,1.05623,0.000291067,0.000291067,0.000291067
115,2336.96,0.69588,0.8342,0.95065,0.48885,0.56971,0.53065,0.41527,0.76626,1.31433,1.06723,0.000286837,0.000286837,0.000286837
116,2355.63,0.70031,0.79237,0.94888,0.51193,0.47585,0.47223,0.36236,0.76825,1.33051,1.06785,0.000282608,0.000282608,0.000282608
117,2377.24,0.69219,0.81046,0.94892,0.56609,0.50771,0.53405,0.42583,0.75456,1.36842,1.06434,0.000278378,0.000278378,0.000278378
118,2399.07,0.69655,0.81494,0.95224,0.53228,0.51795,0.53543,0.40932,0.77148,1.32517,1.06599,0.000274148,0.000274148,0.000274148
119,2417.03,0.69314,0.79912,0.93967,0.42911,0.57608,0.53947,0.38761,0.75868,1.42204,1.0577,0.000269919,0.000269919,0.000269919
120,2438.81,0.69352,0.78749,0.94611,0.46473,0.52798,0.47413,0.35886,0.75899,1.38641,1.07127,0.00026569,0.00026569,0.00026569
121,2460.71,0.68483,0.76579,0.94157,0.49113,0.59835,0.53791,0.42643,0.76556,1.37264,1.0799,0.00026146,0.00026146,0.00026146
122,2479.57,0.72081,0.80082,0.94945,0.56195,0.56779,0.5481,0.43161,0.73713,1.38338,1.05541,0.000257231,0.000257231,0.000257231
123,2501.71,0.6927,0.78254,0.94178,0.55991,0.52278,0.54281,0.4201,0.73021,1.37728,1.05274,0.000253001,0.000253001,0.000253001
124,2520.22,0.70243,0.81632,0.94773,0.60656,0.52074,0.55537,0.42885,0.73802,1.31692,1.05424,0.000248772,0.000248772,0.000248772
125,2542.15,0.69387,0.79863,0.96895,0.5653,0.50506,0.53172,0.40052,0.76808,1.40768,1.06856,0.000244542,0.000244542,0.000244542
126,2563.57,0.66104,0.85627,0.92395,0.54129,0.55392,0.53264,0.38324,0.74487,1.42494,1.06575,0.000240313,0.000240313,0.000240313
127,2581.47,0.69266,0.76595,0.94316,0.63093,0.50312,0.5361,0.39602,0.74913,1.3866,1.07104,0.000236083,0.000236083,0.000236083
128,2602.85,0.67281,0.7585,0.93776,0.59346,0.48304,0.52973,0.38767,0.7529,1.39411,1.08031,0.000231853,0.000231853,0.000231853
129,2621.5,0.68881,0.75877,0.94981,0.53184,0.49728,0.52687,0.4047,0.76724,1.43682,1.08881,0.000227624,0.000227624,0.000227624
130,2643.51,0.66514,0.73431,0.93777,0.60531,0.48972,0.54295,0.4361,0.76108,1.40594,1.083,0.000223395,0.000223395,0.000223395
131,2665.27,0.68062,0.72998,0.93747,0.57706,0.52277,0.54677,0.4301,0.74719,1.45391,1.07829,0.000219165,0.000219165,0.000219165
